,job,bias,stat
96,산지기,-0.1958252558645901,0.9
97,상담가,-0.15101850363123837,2.1
98,상사,-0.11152381137030343,1.3
99,상원의원,-0.17627572698921168,1.1
100,상인,-0.09765647422830259,1.2
101,생물학자,-0.15977016008305434,1.9
102,선교사,-0.1174628112257694,1.7
103,선동가,-0.21338920150360163,1.9
104,선생님,-0.07822190621706793,2.8
105,선원,-0.018871548531391724,1.0
106,선장,-0.1418688361810898,1.2
107,설계사,-0.21613142017954146,2.3
108,설교가,-0.18159694609960275,0.9
109,성인,-0.059119178338470135,1.3
110,성직자,-0.1562488943596696,1.1
111,세일즈맨,-0.13832992128620258,0.2
112,소방관,-0.1340199495875336,1.1
113,소설가,-0.13073440768474853,2.0
114,소아과의사,-0.18817263797224948,2.2
115,소유주,-0.16167546143804667,1.4
116,수녀,0.22374240473177665,3.7
117,수도승,-0.15178966170613517,0.3
118,수사관,-0.1151153347259144,1.3
119,수영선수,-0.1268195423237608,2.0
120,수집가,-0.17675238905966273,1.6
121,수학자,-0.10673369380804809,1.2
122,순경,-0.036453134117107044,1.0
123,스타일리스트,-0.14080429224690683,3.1
124,스포츠기자,-0.16842866672796442,0.9
125,스포츠맨,-0.16151959162089224,0.1
126,시나리오작가,-0.18723769591928963,1.4
127,시민,-0.1260418075950822,2.0
128,시위자,-0.17159281212202604,2.2
129,시의원,-0.10268815846601975,0.3
130,시인,-0.08458668688199866,2.1
131,식당주인,-0.1385252793593268,1.8
132,신경학자,-0.1974889899337977,1.4
133,심리학자,-0.15051532652332744,2.0
134,싱어송라이터,-0.18720121251236455,2.3
135,아버지,-0.3142422669225995,0.0
136,안무가,-0.031083224857177516,2.6
137,암살자,-0.1670160761764139,1.0
138,야구선수,-0.18404148997222247,0.8
139,약사,-0.08966326640103928,1.7
140,어부,-0.11466201761614458,0.1
141,여배우,0.036143642071584825,4.0
142,역사학자,-0.21298364501024492,1.5
143,연구자,-0.14641799386488374,1.9
144,연기자,-0.11888268052231266,2.2
145,연예인,-0.09924660530749518,2.0
146,영화감독,-0.17122984643335593,1.33333333333
147,예능인,-0.11234529413271632,2.4
148,예술가,-0.18157090659981678,2.2
149,외과의,-0.1012108494592352,1.1
150,외교관,-0.13751344860376324,1.5
151,요리사,-0.11105291881908785,1.5
152,용접공,-0.17417235332748415,0.8
153,우주비행사,-0.14795551745877966,1.0
154,운동가,-0.10240626292910493,1.8
155,운동선수,-0.09582411532111745,1.3
156,웨이터,-0.1027621362858846,0.0
157,웨이트리스,-0.09458865560263052,3.9
158,위생병,-0.19185139527252493,1.4
159,위원,-0.031854576991512396,1.2
160,유모,0.15510264318573252,3.3
161,은행가,-0.22626211775570537,0.7
162,은행원,0.015130310450448325,1.4
163,음악가,-0.14958470545148672,2.0
164,의사,-0.029680385840402224,1.3
165,이발사,-0.1032083261859893,0.5
166,인류학자,-0.16825854095924786,1.6
167,인명구조원,-0.2087808626207539,1.4
168,인부,-0.058113707648206336,0.9
169,인테리어디자이너,-0.17616341644668343,3.0
170,일꾼,-0.12601384466019594,1.7
171,일러스트레이터,-0.19008130238530851,1.8
172,임원,-0.13420671410908902,1.2
173,입법자,-0.20742272894592673,1.3
174,자본가,-0.21530959474633282,1.3
175,자선가,-0.12470245202207897,1.55555555556
176,작가,-0.0007874352660994788,2.0
177,작곡가,-0.18066268332386626,1.4
178,작사가,-0.18823001687426366,2.11111111111
179,장관,-0.1000969047956195,1.0
180,장교,-0.14947957383792065,1.0
181,전기기사,-0.17104915394206266,1.0
182,전도사,-0.08760677067746792,1.4
183,전략가,-0.18921500126690516,1.7
184,전사,-0.18254291939890166,0.9
185,점주,0.014552433009381804,1.5
186,정비공,-0.17598470476612293,0.8
187,정원사,-0.12960951941507926,2.2
188,정치인,-0.16173015360881893,1.5
189,제빵사,-0.1255028171515984,2.1
190,조각가,-0.13775559297338646,1.5
191,조교수,-0.14370087761973616,1.4
192,조폭,-0.04749287875671415,0.9
193,죄수,-0.06251358377653737,1.2
194,주교,-0.0180650031501135,0.4
195,주부,0.05172476462307607,4.0
196,주인공,-0.16988723276796103,1.9
197,중개인,-0.12184097295647622,1.3
198,중위,-0.11752175320229385,1.1
199,중재인,-0.13547962362095167,2.2
200,지도교사,-0.19836393029288968,1.88888888889
201,지인,-0.06713499199605977,2.0
202,지지자,-0.14922029769936662,2.1
203,지질학자,-0.2366077646878495,1.6
204,지휘관,-0.2969881744575389,1.0
205,지휘자,-0.17753436863949612,1.2
206,집사,-0.06586273253006913,0.5
207,창녀,0.13331968094750302,3.2
208,천문학자,-0.15910446875064288,1.3
209,철학자,-0.12663952449371885,1.2
210,청소년,-0.1416846279427193,2.1
211,청소부,-0.09368079341964664,0.9
212,첼리스트,-0.09779927438749114,2.2
213,총장,-0.10157795915619472,1.2
214,촬영기사,-0.16091926783833754,1.5
215,측량사,-0.21894004566119496,1.5
216,치과의사,-0.11688401124182413,1.3
217,치료사,-0.08771865479437557,2.6
218,치안판사,-0.19752351328227524,1.2
219,카메라맨,-0.09111729193938656,0.3
220,칼럼니스트,-0.19410027163739096,1.8
221,캐릭터,-0.16901899336822446,2.0
222,컨설턴트,-0.1359470937678795,1.9
223,코미디언,-0.15374598062476164,1.7
224,코치,-0.05937542504161364,1.0
225,큐레이터,-0.10053997217486699,2.0
226,탐정,-0.015016299273883593,1.3
227,택시기사,-0.10413331326782727,1.2
228,트럭운전사,-0.19023193973557295,0.9
229,특사,0.015037534657873941,1.6
230,특파원,-0.1287424373290702,2.0
231,판사,-0.023428676681858107,1.3
232,패션디자이너,-0.12702448024785506,2.8
233,편집자,-0.1272203068914548,1.4
234,평론가,-0.15561059767356467,1.4
235,프로그래머,-0.18033190697327028,1.0
236,피고용인,-0.22005055731544165,2.0
237,피아니스트,-0.12264550731771351,2.1
238,하녀,0.17418208411487557,3.4
239,하인,-0.12934366994725677,1.9
240,학생,0.00255872541430735,2.0
241,학자,-0.14909298495455614,1.4
242,학장,-0.013560350939828325,1.2
243,해설자,-0.1242198260615135,1.6
244,행정인,-0.18768649683322436,1.8
245,홍보담당자,-0.17749622134468201,2.4
246,화가,-0.0548137215500244,1.8
247,화학자,-0.19317016354994987,1.8
248,환경운동가,-0.1825045057228596,2.33333333333
249,회계,-0.13993540621325762,2.22222222222
250,회계사,-0.1182116595109135,1.6
251,회사원,-0.15953915438262922,0.2
252,후배,-0.062307724686555765,1.8
253,희극인,-0.14251783531618178,1.7
